branch,group,group_name,subgroup,diagram_title,part_count,source_url,image_url
body_chassis_44V,32,32,135,REAR SPRINGS AND SUSPENSION USED WITH SELF-LEVELLING DEVICE,32,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=32&subgroup=135&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B321/B32135000011.120523.png&hash=97a10f83ddadad413ed981c99b93041b
body_chassis_44V,32,32,180,REAR TORSION BAR - STANDARD SPRING SUSPENSION,11,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=32&subgroup=180&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B321/B32180000009.990510.png&hash=94ad0221cf47af2dcd05b63a22cc3786
body_chassis_44V,32,32,195,REAR TORSION BAR & HEIGHT CONTROL VALVE USED SELF-LEVELLINGDEVICE,28,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=32&subgroup=195&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B321/B32195000018.990510.png&hash=cdb8f11e7136aa23c995177e62f3a6f0
body_chassis_44V,32,32,240,"OIL TANK & VALVES OF SELF-LEVELLINGDEVICE HYDRAULIC SYSTEM, A S D",23,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=32&subgroup=240&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B322/B32240000088.990510.png&hash=c1ce780faa99c4badc982282d80b5c28
body_chassis_44V,32,32,285,LINE ARRANGEMENT IN CASE OF SELF-LEVELLING DEVICE & A S D,33,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=32&subgroup=285&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B322/B32285000066.980731.png&hash=51089b9621203a1a89feea6a6ff754e8
body_chassis_44V,32,32,400,HYDRAULIC LINE MOUNTING PARTS,16,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=32&subgroup=400&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B324/B32400000061.980731.png&hash=4a191efbb1ddc1501c1c921c248c7a86
body_chassis_44V,33,33,030,STEERING KNUCKLE AND CONTROL ARM,32,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=33&subgroup=030&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B330/B33030000022.100218.png&hash=112bb5df14e412dc10bd9ae222760a6b
body_chassis_44V,33,33,035,"REGULATION OF DYNAMIC HEADLAMP RANGE CONTROL, FRONT",10,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=33&subgroup=035&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B330/B33035000013.990510.png&hash=20ad7c05fe2c30845013e7b19b08f907
body_chassis_44V,35,35,015,REAR AXLE HOUSING WITH DIFFERENTIAL,90,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=35&subgroup=015&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B350/B35015000073.990510.png&hash=116e351d35127652b508a666c585d5ee
body_chassis_44V,35,35,030,AXLE SHAFT,21,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=35&subgroup=030&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B350/B35030000044.120216.png&hash=e5611ca2117bb7a40355302e286ea067
body_chassis_44V,35,35,045,REAR SUBFRAME,23,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=35&subgroup=045&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B350/B35045000053.980520.png&hash=d8c8fda89fae8accbd62888c92ad6f96
body_chassis_44V,35,35,075,REAR AXLE SUSPENSION,23,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=35&subgroup=075&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B350/B35075000026.980223.png&hash=89ce1c9a2f4e0ba560afe62cfd12ce95
body_chassis_44V,35,35,080,"REGULATION OF DYNAMIC HEADLAMP RANGE CONTROL, REAR",12,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=35&subgroup=080&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B350/B35080000006.990510.png&hash=0b483e617ca10bf6b66fb3e88d16e5c7
body_chassis_44V,40,40,015,WHEELS,33,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=40&subgroup=015&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B400/B40015000088.030225.png&hash=0c941abb7cc77092ce55a076535ac586
body_chassis_44V,41,41,015,PROPELLER SHAFT,66,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=41&subgroup=015&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B410/B41015000033.990510.png&hash=7bc5cf3339ba7822d0884dd2138d12c5
body_chassis_44V,42,42,030,FRONT WHEEL BRAKE,30,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=42&subgroup=030&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B420/B42030000031.990510.png&hash=cc5e5be021b055ca0f640f28616ebc8c
body_chassis_44V,42,42,045,REAR WHEEL BRAKE,34,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=42&subgroup=045&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B420/B42045000027.991029.png&hash=b073984f742998c0eaa55cc064c49b1b
body_chassis_44V,42,42,060,BRAKE BOOSTER,46,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=42&subgroup=060&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B420/B42060000242.060425.png&hash=06418e85ad4506f1d4c4d687b377f54c
body_chassis_44V,42,42,064,HYDRAULIC UNIT,28,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=42&subgroup=064&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B420/B42064000001.120830.png&hash=32b0bf26630809ad392b1639a8c0b615
body_chassis_44V,42,42,091,BRAKE LINES USED WITH ABS,46,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=42&subgroup=091&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B420/B42091000001.070328.png&hash=6e21ff84cd3a8f72499fafee0de0ab24
